Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,0.23200027644634247,0,253,1.2649999856948853,6.39833402633667
2,4.8885900469031185e-05,0,253,1.2649999856948853,6.398383140563965
3,0.5937491059303284,0,253,1.2649999856948853,6.992132186889648
4,7.70886690588668e-05,0,253,1.2649999856948853,6.992209434509277
5,2.6220996379852295,0,253,1.2649999856948853,9.614309310913086
6,6.462721347808838,244,497,2.484999895095825,16.077030181884766
7,4.3745880126953125,0,497,2.484999895095825,20.451618194580078
8,19.074737548828125,575,1072,5.359999656677246,39.5263557434082
9,0.6030271649360657,0,1072,5.359999656677246,40.1293830871582
10,0.00016928883269429207,0,1072,5.359999656677246,40.12955093383789
11,0.2718365788459778,0,1072,5.359999656677246,40.40138626098633
12,0.00024755793856456876,0,1072,5.359999656677246,40.401634216308594
13,3.7146661281585693,0,1072,5.359999656677246,44.11629867553711
14,19.273792266845703,585,1657,8.28499984741211,63.39009094238281
15,2.946699857711792,0,1657,8.28499984741211,66.3367919921875
16,6.06491756439209,178,1835,9.175000190734863,72.4017105102539
17,1.6481815576553345,0,1835,9.175000190734863,74.04988861083984
18,0.0038846333045512438,0,1835,9.175000190734863,74.05377197265625
19,1.503299593925476,0,1835,9.175000190734863,75.55706787109375
20,16.28807830810547,446,2281,11.404999732971191,91.84514617919922
21,0.48585525155067444,0,2281,11.404999732971191,92.33100128173828
22,0.0005410125595517457,0,2281,11.404999732971191,92.33154296875
23,0.09646996855735779,0,2281,11.404999732971191,92.42801666259766
24,0.00047256547259166837,0,2281,11.404999732971191,92.4284896850586
25,2.5661885738372803,0,2281,11.404999732971191,94.99467468261719
26,0.00025649863528087735,0,2281,11.404999732971191,94.99493408203125
27,2.054619550704956,0,2281,11.404999732971191,97.04955291748047
28,14.278458595275879,404,2685,13.425000190734863,111.32801055908203
29,1.9224928617477417,0,2685,13.425000190734863,113.25050354003906
30,0.00036756540066562593,0,2685,13.425000190734863,113.25086975097656
31,3.907862663269043,0,2685,13.425000190734863,117.15872955322266
32,12.464691162109375,257,2942,14.710000038146973,129.6234130859375
33,4.487400054931641,0,2942,14.710000038146973,134.11080932617188
34,13.816861152648926,175,3117,15.584999084472656,147.92767333984375
35,1.0532997846603394,0,3117,15.584999084472656,148.98097229003906
36,0.0007075075409375131,0,3117,15.584999084472656,148.98167419433594
37,3.7137064933776855,0,3117,15.584999084472656,152.69537353515625
38,15.33596134185791,190,3307,16.53499984741211,168.03134155273438
39,1.5850530862808228,0,3307,16.53499984741211,169.61639404296875
40,5.696017265319824,89,3396,16.979999542236328,175.31240844726562
41,3.7474260330200195,0,3396,16.979999542236328,179.05982971191406
42,3.578977346420288,69,3465,17.325000762939453,182.63880920410156
43,4.880099296569824,0,3465,17.325000762939453,187.51890563964844
44,22.345491409301758,610,4075,20.375,209.86439514160156
45,0.5540300011634827,0,4075,20.375,210.41842651367188
46,0.00013352386304177344,0,4075,20.375,210.41856384277344
47,3.2971584796905518,0,4075,20.375,213.71572875976562
48,12.789889335632324,434,4509,22.545000076293945,226.505615234375
49,0.8538020849227905,0,4509,22.545000076293945,227.3594207763672
50,0.00025590258883312345,0,4509,22.545000076293945,227.35968017578125
51,3.000863552093506,0,4509,22.545000076293945,230.3605499267578
52,0.0009409586200490594,0,4509,22.545000076293945,230.3614959716797
53,4.635671138763428,0,4509,22.545000076293945,234.99716186523438
54,13.537223815917969,430,4939,24.69499969482422,248.53439331054688
55,1.4138134717941284,0,4939,24.69499969482422,249.94821166992188
56,0.00026938077644445,0,4939,24.69499969482422,249.948486328125
57,1.393358588218689,0,4939,24.69499969482422,251.3418426513672
58,0.01957535184919834,0,4939,24.69499969482422,251.36141967773438
59,1.213145136833191,0,4939,24.69499969482422,252.57456970214844
60,0.000337579200277105,0,4939,24.69499969482422,252.5749053955078
61,1.6057417392730713,0,4939,24.69499969482422,254.18064880371094
62,16.610219955444336,527,5466,27.329999923706055,270.7908630371094
63,2.43982195854187,0,5466,27.329999923706055,273.2306823730469
64,0.0008439178927801549,0,5466,27.329999923706055,273.2315368652344
65,0.1264643669128418,0,5466,27.329999923706055,273.3580017089844
66,0.0010938100749626756,0,5466,27.329999923706055,273.3591003417969
67,2.3398823738098145,0,5466,27.329999923706055,275.698974609375
68,6.57754935673438e-05,0,5466,27.329999923706055,275.69903564453125
69,4.285497188568115,0,5466,27.329999923706055,279.9845275878906
70,8.682528495788574,197,5663,28.314998626708984,288.66705322265625
71,3.6906344890594482,0,5663,28.314998626708984,292.3576965332031
72,0.011632769368588924,0,5663,28.314998626708984,292.36932373046875
73,4.979581356048584,0,5663,28.314998626708984,297.3489074707031
74,9.584534645080566,222,5885,29.42500114440918,306.9334411621094
75,3.3510637283325195,0,5885,29.42500114440918,310.2845153808594
76,19.468385696411133,368,6253,31.264999389648438,329.7528991699219
77,4.970217704772949,0,6253,31.264999389648438,334.7231140136719
78,18.672962188720703,44,6297,31.485000610351562,353.3960876464844
79,1.9112871885299683,0,6297,31.485000610351562,355.307373046875
80,2.0269473679945804e-05,0,6297,31.485000610351562,355.3074035644531
81,0.060931358486413956,0,6297,31.485000610351562,355.36834716796875
82,7.549921519967029e-06,0,6297,31.485000610351562,355.36834716796875
83,3.9200100898742676,0,6297,31.485000610351562,359.2883605957031
84,7.15092134475708,85,6382,31.90999984741211,366.43927001953125
85,0.8127617239952087,0,6382,31.90999984741211,367.2520446777344
86,0.0007803986663930118,0,6382,31.90999984741211,367.2528381347656
87,1.6780742406845093,0,6382,31.90999984741211,368.930908203125
88,15.838134765625,163,6545,32.724998474121094,384.76904296875
89,3.3924171924591064,0,6545,32.724998474121094,388.1614685058594
90,0.0037264826241880655,0,6545,32.724998474121094,388.1651916503906
91,0.6031405925750732,0,6545,32.724998474121094,388.7683410644531
92,0.0006588299875147641,0,6545,32.724998474121094,388.7690124511719
93,1.616897702217102,0,6545,32.724998474121094,390.38592529296875
94,2.8610227673198096e-05,0,6545,32.724998474121094,390.3859558105469
95,1.5214883089065552,0,6545,32.724998474121094,391.9074401855469
96,0.0005706151132471859,0,6545,32.724998474121094,391.90802001953125
97,1.488349437713623,0,6545,32.724998474121094,393.3963623046875
98,32.21102523803711,680,7225,36.125,425.6073913574219
99,0.8994209170341492,0,7225,36.125,426.5068054199219
100,0.0004846955125685781,0,7225,36.125,426.5072937011719
101,3.883920669555664,0,7225,36.125,430.3912048339844
102,19.187685012817383,442,7667,38.33500289916992,449.5788879394531
103,2.1887667179107666,0,7667,38.33500289916992,451.7676696777344
104,0.0003339423565194011,0,7667,38.33500289916992,451.76800537109375
105,3.564537525177002,0,7667,38.33500289916992,455.3325500488281
106,0.0029073089826852083,0,7667,38.33500289916992,455.33544921875
107,3.750650644302368,0,7667,38.33500289916992,459.0860900878906
108,19.68364143371582,438,8105,40.525001525878906,478.7697448730469
109,3.480337619781494,0,8105,40.525001525878906,482.2500915527344
110,2.299889326095581,62,8167,40.834999084472656,484.54998779296875
111,1.1973131895065308,0,8167,40.834999084472656,485.747314453125
112,7.152557373046875e-05,0,8167,40.834999084472656,485.74737548828125
113,2.1220288276672363,0,8167,40.834999084472656,487.8694152832031
114,0.013939538970589638,2,8169,40.845001220703125,487.88336181640625
115,2.344696044921875,0,8169,40.845001220703125,490.2280578613281
116,2.3841856091166846e-05,0,8169,40.845001220703125,490.22808837890625
117,0.19553540647029877,0,8169,40.845001220703125,490.4236145019531
118,6.67572021484375e-05,0,8169,40.845001220703125,490.4236755371094
119,1.6203423738479614,0,8169,40.845001220703125,492.04400634765625
120,0.0008964537992142141,0,8169,40.845001220703125,492.0448913574219
121,1.5042364597320557,0,8169,40.845001220703125,493.54913330078125
122,28.20223045349121,325,8494,42.46999740600586,521.7513427734375
123,2.27180814743042,0,8494,42.46999740600586,524.0231323242188
124,10.432243347167969,206,8700,43.5,534.4553833007812
125,4.1445536613464355,0,8700,43.5,538.5999145507812
126,7.907368183135986,151,8851,44.255001068115234,546.5072631835938
127,2.777515411376953,0,8851,44.255001068115234,549.2847900390625
128,0.016277629882097244,0,8851,44.255001068115234,549.3010864257812
129,0.6741703748703003,0,8851,44.255001068115234,549.9752807617188
130,1.6468040943145752,39,8890,44.45000076293945,551.6220703125
131,0.2202819436788559,0,8890,44.45000076293945,551.8423461914062
132,0.00020027159189339727,0,8890,44.45000076293945,551.842529296875
133,1.4118441343307495,0,8890,44.45000076293945,553.25439453125
134,0.0023285546340048313,0,8890,44.45000076293945,553.2567138671875
135,1.1075830459594727,0,8890,44.45000076293945,554.3643188476562
136,21.57471466064453,252,9142,45.709999084472656,575.9390258789062
137,4.859781742095947,0,9142,45.709999084472656,580.798828125
138,7.839466571807861,16,9158,45.78999710083008,588.6383056640625
139,4.347171783447266,0,9158,45.78999710083008,592.9854736328125
140,6.451938152313232,13,9171,45.85499954223633,599.4374389648438
141,4.637991905212402,0,9171,45.85499954223633,604.075439453125
142,3.3115692138671875,9,9180,45.89999771118164,607.3870239257812
143,2.04164719581604,0,9180,45.89999771118164,609.4286499023438
144,7.723098278045654,66,9246,46.22999954223633,617.1517333984375
145,4.530000686645508,0,9246,46.22999954223633,621.6817626953125
146,6.2979536056518555,7,9253,46.26499938964844,627.979736328125
147,3.7773213386535645,0,9253,46.26499938964844,631.757080078125
148,5.962055206298828,79,9332,46.65999984741211,637.7191162109375
149,4.2002973556518555,0,9332,46.65999984741211,641.91943359375
150,5.765481472015381,40,9372,46.86000061035156,647.6849365234375
151,1.3118611574172974,0,9372,46.86000061035156,648.996826171875
152,0.0005312760476954281,0,9372,46.86000061035156,648.9973754882812
153,0.9762002229690552,0,9372,46.86000061035156,649.9735717773438
154,0.00013987222337163985,0,9372,46.86000061035156,649.9736938476562
155,3.2129619121551514,0,9372,46.86000061035156,653.1866455078125
156,3.833808660507202,0,9372,46.86000061035156,657.0204467773438
157,4.114067077636719,0,9372,46.86000061035156,661.134521484375
158,19.816938400268555,79,9451,47.255001068115234,680.9514770507812
159,1.5632424354553223,0,9451,47.255001068115234,682.5147094726562
160,0.0002757753827609122,0,9451,47.255001068115234,682.5150146484375
161,0.48619523644447327,0,9451,47.255001068115234,683.001220703125
162,0.00013669331383425742,0,9451,47.255001068115234,683.0013427734375
163,4.590725421905518,0,9451,47.255001068115234,687.592041015625
164,6.483683109283447,45,9496,47.47999954223633,694.0757446289062
165,4.274823188781738,0,9496,47.47999954223633,698.3505859375
166,11.446500778198242,74,9570,47.85000228881836,709.7970581054688
167,2.6998789310455322,0,9570,47.85000228881836,712.4969482421875
168,0.00022570291184820235,0,9570,47.85000228881836,712.4971923828125
169,3.4957642555236816,0,9570,47.85000228881836,715.9929809570312
170,8.795700073242188,240,9810,49.04999923706055,724.7886962890625
171,4.798218727111816,0,9810,49.04999923706055,729.5869140625
172,19.087648391723633,128,9938,49.689998626708984,748.674560546875
173,4.041594982147217,0,9938,49.689998626708984,752.7161254882812
174,3.2704572677612305,16,9954,49.77000045776367,755.986572265625
175,3.489466428756714,0,9954,49.77000045776367,759.4760131835938
176,12.369048118591309,219,10173,50.8650016784668,771.8450317382812
177,3.247614860534668,0,10173,50.8650016784668,775.0926513671875
178,3.7379322052001953,108,10281,51.404998779296875,778.83056640625
179,1.82381010055542,0,10281,51.404998779296875,780.6543579101562
180,0.010459423065185547,0,10281,51.404998779296875,780.664794921875
181,4.235069274902344,0,10281,51.404998779296875,784.8998413085938
182,1.6547954082489014,38,10319,51.595001220703125,786.5546264648438
183,3.1506705284118652,0,10319,51.595001220703125,789.705322265625
184,15.486041069030762,130,10449,52.2449951171875,805.1913452148438
185,0.31961187720298767,0,10449,52.2449951171875,805.510986328125
186,0.00016093450540211052,0,10449,52.2449951171875,805.5111694335938
187,4.542417049407959,0,10449,52.2449951171875,810.0535888671875
188,15.157517433166504,114,10563,52.81500244140625,825.2111206054688
189,1.0211549997329712,0,10563,52.81500244140625,826.2322998046875
190,0.0035083291586488485,0,10563,52.81500244140625,826.2357788085938
191,4.881410121917725,0,10563,52.81500244140625,831.1171875
192,11.398378372192383,78,10641,53.20500183105469,842.5155639648438
193,2.863290309906006,0,10641,53.20500183105469,845.3788452148438
194,1.9217274188995361,17,10658,53.28999710083008,847.3005981445312
195,4.053374290466309,0,10658,53.28999710083008,851.3539428710938
196,0.18716208636760712,0,10658,53.28999710083008,851.5410766601562
197,4.724254131317139,0,10658,53.28999710083008,856.2653198242188
198,0.21994607150554657,0,10658,53.28999710083008,856.4852905273438
199,2.5462124347686768,0,10658,53.28999710083008,859.031494140625
200,16.326602935791016,40,10698,53.4900016784668,875.3580932617188
201,3.8921687602996826,0,10698,53.4900016784668,879.250244140625
202,11.001628875732422,118,10816,54.07999801635742,890.2518920898438
203,0.8975968956947327,0,10816,54.07999801635742,891.1494750976562
204,0.0002962393336929381,0,10816,54.07999801635742,891.1497802734375
205,3.531728744506836,0,10816,54.07999801635742,894.6815185546875
206,0.004384318832308054,0,10816,54.07999801635742,894.6859130859375
207,3.4681828022003174,0,10816,54.07999801635742,898.1541137695312
208,14.314263343811035,123,10939,54.69499969482422,912.4683837890625
209,0.2505852282047272,0,10939,54.69499969482422,912.718994140625
210,0.0002749765117187053,0,10939,54.69499969482422,912.7192993164062
211,0.7875955700874329,0,10939,54.69499969482422,913.5068969726562
212,6.596247112611309e-05,0,10939,54.69499969482422,913.5069580078125
213,1.480311393737793,0,10939,54.69499969482422,914.9872436523438
214,0.0003012021188624203,0,10939,54.69499969482422,914.987548828125
215,1.5451571941375732,0,10939,54.69499969482422,916.53271484375
216,9.100128173828125,58,10997,54.98500061035156,925.6328125
217,1.372376561164856,0,10997,54.98500061035156,927.0051879882812
218,0.0002968312765005976,0,10997,54.98500061035156,927.0054931640625
219,1.59836745262146,0,10997,54.98500061035156,928.6038818359375
220,7.995365142822266,66,11063,55.314998626708984,936.5992431640625
221,4.961749076843262,0,11063,55.314998626708984,941.5609741210938
222,9.39354419708252,7,11070,55.349998474121094,950.9545288085938
223,4.299633026123047,0,11070,55.349998474121094,955.254150390625
224,0.0010645389556884766,0,11070,55.349998474121094,955.2551879882812
225,4.8378729820251465,0,11070,55.349998474121094,960.0930786132812
226,9.894683837890625,15,11085,55.42499923706055,969.98779296875
227,4.512178421020508,0,11085,55.42499923706055,974.5
228,19.104413986206055,5,11090,55.44999694824219,993.6044311523438
229,4.456422805786133,0,11090,55.44999694824219,998.0608520507812
230,9.223100662231445,10,11100,55.5,1007.283935546875
231,0.8318566679954529,0,11100,55.5,1008.1157836914062
232,0.0002284849906573072,0,11100,55.5,1008.1160278320312
233,2.8232784271240234,0,11100,55.5,1010.9393310546875
234,15.40538215637207,15,11115,55.57500076293945,1026.3447265625
235,3.467336654663086,0,11115,55.57500076293945,1029.81201171875
236,0.001674493309110403,0,11115,55.57500076293945,1029.813720703125
237,1.0472584962844849,0,11115,55.57500076293945,1030.8609619140625
238,12.790297508239746,23,11138,55.69000244140625,1043.6512451171875
239,4.709720611572266,0,11138,55.69000244140625,1048.3609619140625
240,13.195914268493652,8,11146,55.72999572753906,1061.556884765625
241,3.6331915855407715,0,11146,55.72999572753906,1065.1900634765625
