Primitive Index,duration,collected,total,percentage
0,6.1663336753845215,253,253,1.2649999856948853
1,2.9249331951141357,0,253,1.2649999856948853
2,13.304386138916016,453,706,3.5300002098083496
3,3.1136221885681152,0,706,3.5300002098083496
4,20.319522857666016,672,1378,6.889999866485596
5,3.8271422386169434,0,1378,6.889999866485596
6,28.628389358520508,987,2365,11.824999809265137
7,4.550792694091797,0,2365,11.824999809265137
8,14.117292404174805,420,2785,13.924999237060547
9,0.31944984197616577,0,2785,13.924999237060547
10,4.532740422291681e-05,0,2785,13.924999237060547
11,2.7255473136901855,0,2785,13.924999237060547
12,10.337224006652832,370,3155,15.774999618530273
13,4.5716071128845215,0,3155,15.774999618530273
14,9.284041404724121,258,3413,17.065000534057617
15,1.497123122215271,0,3413,17.065000534057617
16,0.003985564224421978,0,3413,17.065000534057617
17,1.5308024883270264,0,3413,17.065000534057617
18,0.0001931190345203504,0,3413,17.065000534057617
19,1.0404741764068604,0,3413,17.065000534057617
20,0.0008066495065577328,0,3413,17.065000534057617
21,1.5941331386566162,0,3413,17.065000534057617
22,13.823783874511719,466,3879,19.395000457763672
23,2.3612473011016846,0,3879,19.395000457763672
24,1.2502014636993408,35,3914,19.56999969482422
25,4.48743200302124,0,3914,19.56999969482422
26,3.1356616020202637,48,3962,19.809999465942383
27,0.6708623170852661,0,3962,19.809999465942383
28,6.074212551116943,182,4144,20.720001220703125
29,1.885392427444458,0,4144,20.720001220703125
30,0.001999536994844675,0,4144,20.720001220703125
31,4.993339538574219,0,4144,20.720001220703125
32,1.3513071537017822,40,4184,20.920000076293945
33,0.7415999174118042,0,4184,20.920000076293945
34,0.0002419948432361707,0,4184,20.920000076293945
35,3.0442354679107666,0,4184,20.920000076293945
36,23.050928115844727,595,4779,23.895000457763672
37,3.4157068729400635,0,4779,23.895000457763672
38,9.744091033935547,318,5097,25.485000610351562
39,3.2205092906951904,0,5097,25.485000610351562
40,3.0081069469451904,88,5185,25.924999237060547
41,1.0457266569137573,0,5185,25.924999237060547
42,0.004928112030029297,0,5185,25.924999237060547
43,0.7975877523422241,0,5185,25.924999237060547
44,7.429434776306152,246,5431,27.155000686645508
45,1.4381334781646729,0,5431,27.155000686645508
46,0.00017007645510602742,0,5431,27.155000686645508
47,0.3366600275039673,0,5431,27.155000686645508
48,0.0002702077035792172,0,5431,27.155000686645508
49,0.3351459801197052,0,5431,27.155000686645508
50,0.0004132588510401547,0,5431,27.155000686645508
51,2.2892136573791504,0,5431,27.155000686645508
52,4.304237365722656,99,5530,27.64999771118164
53,0.6503497362136841,0,5530,27.64999771118164
54,0.0007828076486475766,0,5530,27.64999771118164
55,3.3016867637634277,0,5530,27.64999771118164
56,9.045634269714355,155,5685,28.424999237060547
57,3.297581434249878,0,5685,28.424999237060547
58,14.553511619567871,375,6060,30.30000114440918
59,1.450519323348999,0,6060,30.30000114440918
60,8.900959801394492e-05,0,6060,30.30000114440918
61,3.719303607940674,0,6060,30.30000114440918
62,0.4044370949268341,9,6069,30.344999313354492
63,3.6242971420288086,0,6069,30.344999313354492
64,2.15714430809021,31,6100,30.5
65,2.2214362621307373,0,6100,30.5
66,16.595399856567383,379,6479,32.39500045776367
67,0.520933985710144,0,6479,32.39500045776367
68,3.5541343095246702e-06,0,6479,32.39500045776367
69,2.8817129135131836,0,6479,32.39500045776367
70,7.483389854431152,150,6629,33.144996643066406
